team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Manchester City,10410.0,1260.0,1.87,1.7,0.66,0.69,1.1800000000000002,100.0,100.0,100.0
Bayern Munich,3970.0,897.7,2.94,2.18,0.78,0.79,2.15,99.74937343358395,99.74937343358395,99.74937343358395
Internazionale,4580.0,563.35,2.45,2.05,0.68,0.51,1.9400000000000002,99.49874686716792,98.99749373433583,98.74686716791979
Arsenal,10410.0,1100.0,1.76,1.65,1.01,0.78,0.98,99.24812030075188,98.74686716791979,99.49874686716792
Real Madrid,4660.0,1030.0,1.87,2.06,1.15,0.62,1.25,98.99749373433583,99.24812030075188,99.24812030075188
AS Roma,4580.0,362.15,1.97,1.44,0.84,1.18,0.79,98.74686716791979,96.49122807017544,92.4812030075188
Liverpool,10410.0,877.3,1.96,2.03,1.23,0.88,1.08,98.49624060150376,99.49874686716792,98.99749373433583
VfB Stuttgart,3970.0,116.6,2.84,1.72,1.08,0.91,1.9299999999999997,98.24561403508771,95.48872180451127,93.98496240601504
Newcastle,10410.0,650.5,2.36,1.72,1.13,0.88,1.48,97.99498746867168,93.98496240601504,98.49624060150376
Leganes,476.9,19.9,1.43,1.1,0.96,0.38,1.0499999999999998,97.74436090225564,92.73182957393483,82.45614035087719
Botafogo,1440.0,68.75,1.43,1.24,1.1,0.55,0.8799999999999999,97.4937343358396,95.23809523809523,83.45864661654136
RB Leipzig,3970.0,403.1,2.15,1.39,1.07,0.79,1.3599999999999999,97.24310776942356,83.45864661654136,94.23558897243107
Napoli,4580.0,587.75,2.02,2.18,0.92,1.01,1.01,96.99248120300751,98.24561403508771,96.2406015037594
Fenerbahce,1190.0,200.55,2.38,2.26,0.49,0.5,1.88,96.74185463659147,98.49624060150376,95.48872180451127
Fortuna Düsseldorf,382.35,26.9,1.91,1.43,1.12,0.91,0.9999999999999999,96.49122807017544,94.48621553884712,83.20802005012531
Real Sociedad,4660.0,432.6,1.6,1.11,1.4,1.07,0.53,96.2406015037594,94.9874686716792,91.22807017543859
Tottenham Hotspur,10410.0,747.6,1.94,1.89,1.26,0.86,1.08,95.98997493734336,96.74185463659147,97.99498746867168
Brentford,10410.0,379.1,1.37,1.8,1.15,1.18,0.19000000000000017,95.73934837092732,96.99248120300751,92.73182957393483
Olympiacos,414.35,101.8,3.01,2.08,0.53,0.26,2.75,95.48872180451127,97.99498746867168,96.49122807017544
Chelsea,10410.0,999.0,1.28,1.79,1.11,0.89,0.39,95.23809523809523,97.24310776942356,98.24561403508771
Borussia Dortmund,3970.0,467.0,1.91,1.97,1.2,0.9,1.0099999999999998,94.9874686716792,97.4937343358396,94.48621553884712
AC Milan,4580.0,543.25,1.79,1.35,0.87,0.9,0.89,94.73684210526315,93.23308270676691,94.9874686716792
Trabzonspor,1190.0,125.35,1.68,1.02,1.18,1.23,0.44999999999999996,94.48621553884712,85.21303258145363,75.18796992481202
Nashville SC,1270.0,43.25,1.04,1.16,1.03,0.85,0.19000000000000006,94.23558897243107,86.21553884711778,63.1578947368421
Brondby,268.93,33.15,1.9,1.51,0.97,0.83,1.0699999999999998,93.98496240601504,91.22807017543859,85.21303258145363
PSV,967.18,187.23,3.08,2.98,0.89,0.31,2.77,93.734335839599,92.4812030075188,97.74436090225564
Nottingham Forest,10410.0,395.58,0.97,1.11,1.3,1.16,-0.18999999999999995,93.48370927318295,91.72932330827066,89.97493734335839
Juventus,4580.0,420.2,1.7,1.45,1.06,0.68,1.02,93.23308270676691,88.7218045112782,93.48370927318295
Aston Villa,10410.0,630.7,2.2,1.71,1.19,1.24,0.9600000000000002,92.98245614035088,97.74436090225564,96.74185463659147
Feyenoord,967.18,204.73,3.26,2.5,0.71,0.61,2.65,92.73182957393483,92.98245614035088,97.24310776942356
Panathinaikos,414.35,55.35,2.87,2.09,0.8,0.65,2.22,92.4812030075188,83.20802005012531,94.73684210526315
FC Dallas,1270.0,46.85,1.09,1.11,1.15,0.98,0.1100000000000001,92.23057644110276,80.20050125313283,55.88972431077694
Bayer Leverkusen,3970.0,446.05,2.83,2.09,1.03,0.79,2.04,91.97994987468672,95.98997493734336,96.99248120300751
Sporting Gijón,476.9,27.05,1.39,1.07,0.89,0.9,0.4899999999999999,91.72932330827066,86.96741854636592,70.17543859649122
Vissel Kobe,254.5,18.33,1.63,1.41,0.97,0.79,0.8399999999999999,91.47869674185463,82.45614035087719,80.45112781954887
Walsall,101.25,3.35,1.39,1.12,1.27,1.58,-0.19000000000000017,91.22807017543859,62.907268170426065,24.31077694235589
Celtic,372.89,126.65,2.32,2.4,1.0,0.6,1.7199999999999998,90.97744360902256,95.73934837092732,93.23308270676691
Genk,832.45,113.1,1.63,2.01,1.25,0.81,0.8199999999999998,90.72681704260651,89.22305764411027,86.21553884711778
Oxford United,224.44,10.55,1.77,1.12,0.96,0.74,1.03,90.47619047619048,79.9498746867168,80.95238095238095
Barcelona,4660.0,862.0,1.92,2.03,1.01,0.87,1.0499999999999998,90.22556390977444,96.2406015037594,97.4937343358396
Cardiff City,1680.0,55.2,1.26,1.19,1.07,1.19,0.07000000000000006,89.97493734335839,72.18045112781954,60.150375939849624
AEK Athens,414.35,67.8,1.92,2.36,1.0,1.03,0.8899999999999999,89.72431077694235,91.97994987468672,88.7218045112782
